,logFC,logCPM,PValue,FDR,up_down
TRPC4,-6.25425497650806,0.101165851893052,3.52955922283615e-83,6.36379527877357e-79,Down
TCEAL6,-8.62256897732727,-2.39718186589327,2.22764071183158e-82,2.00821810171617e-78,Down
CNN1,-7.51361841310711,5.4214430592103,3.3278297378754e-77,2.00002567246312e-73,Down
PTGER3,-7.2805804425777,2.02165393222794,2.22689333150033e-74,1.00377216917377e-70,Down
RBFOX3,-6.36929859706151,-0.959500916980492,1.35451760788983e-72,4.88439049405072e-69,Down
CRHBP,-6.40140384914757,-1.72171077269221,1.10775990478965e-70,3.32881851389289e-67,Down
LMOD1,-6.45477146328111,4.19256389031066,5.83429164234679e-68,1.50274683302161e-64,Down
CLEC3B,-5.694865107617,1.23925849838525,7.74613973591929e-68,1.74578624298281e-64,Down
CSRP1,-4.0736527548666,8.03728759346204,6.93507189537169e-66,1.38932606970613e-62,Down
HSPB7,-6.3224157594545,1.63423892156987,2.35683805917308e-63,4.24937902068907e-60,Down
NCAM1,-6.33345385518115,2.4457758276236,3.34112663167516e-63,5.47641028810028e-60,Down
GPIHBP1,-6.28594949791517,-0.873112930737809,9.44840516659254e-62,1.38855378402235e-58,Down
PSD,-5.1616884363769,2.61414013401191,1.00117577328289e-61,1.38855378402235e-58,Down
ACTA2,-6.00553887013889,7.38931512781753,2.64993631482428e-61,3.41273941116299e-58,Down
SGCA,-6.30603466804826,-0.216377864871838,3.80069025132893e-61,4.56842968209737e-58,Down
KCNMB1,-5.60586328735603,2.6666967533428,2.161163922147e-59,2.4353615947694e-56,Down
MYH11,-6.89250789118987,6.86729606545466,2.57869195584917e-57,2.7349303508212e-54,Down
JPH4,-6.30049380910346,0.477263259167274,3.20280167051118e-57,3.20813967329536e-54,Down
CACNB2,-4.83083472741921,0.244202555459228,1.08631746867602e-56,1.03085810316993e-53,Down
DES,-7.56351409564348,6.12821919198056,2.1960869576792e-56,1.9797723923478e-53,Down
ACTG2,-7.33972015288293,5.88878130372204,3.68811866860125e-56,3.16651331404193e-53,Down
LIMS2,-5.1439277039547,3.84943694944525,3.1669711592157e-55,2.59547681821178e-52,Down
FAM110D,-4.65426418453826,0.451299374487295,1.53622599258938e-54,1.20426759332115e-51,Down
PGM5,-7.00769899874784,3.14926972921278,7.40673203427359e-54,5.56430744074804e-51,Down
PEG3,-6.41408197701074,0.932396583548444,1.68136149908711e-52,1.21259791314162e-49,Down
PLCL1,-5.16239172876028,1.286079067393,2.01917001216327e-51,1.40021674305015e-48,Down
PLN,-6.71121185432934,1.67463902262866,2.87269395030389e-51,1.9183211823696e-48,Down
HSPB6,-6.09553233607675,3.37885048236343,2.90359156862753e-50,1.86970557079837e-47,Down
CSDC2,-6.13183987794963,1.45334680190095,1.94555351214935e-49,1.20959758013975e-46,Down
JAM2,-4.89103836533008,2.29879213097035,9.29604996733317e-49,5.58692603036724e-46,Down
ANGPTL1,-6.75532919459283,0.777078816354847,4.08836356538098e-48,2.37784500270384e-45,Down
GSTM5,-5.93294498842298,1.16942827758588,9.46349106002027e-48,5.22460265268234e-45,Down
FXYD1,-5.67495953316175,-0.466423250138532,9.56250069542524e-48,5.22460265268234e-45,Down
DPT,-6.13361018932468,2.96101545008562,1.64203253098733e-47,8.70760192167691e-45,Down
HAND2,-6.30118323115534,1.53094730119465,1.94020159068422e-47,9.99480990858183e-45,Down
SEL1L2,-6.3741820714587,-3.48663978177046,2.43783293754785e-47,1.22094799622188e-44,Down
EMCN,-4.97040705975368,2.23403310308627,4.53028550605418e-47,2.20759588308532e-44,Down
LDB2,-4.75305186226501,2.91153354273717,8.82413702419535e-47,4.18682080384848e-44,Down
SPARCL1,-5.24499747551386,6.81740779533547,1.6465377279647e-46,7.61207057312913e-44,Down
PLAC9,-4.90520177363363,1.14271509572798,6.33005387007585e-46,2.85327178193669e-43,Down
GPRASP1,-4.5357410477512,2.02711386394958,1.15919750650377e-45,5.09764171762513e-43,Down
VEGFD,-5.71427723953718,-0.801454055635556,1.28618803330678e-45,5.52142148583839e-43,Down
CASQ2,-6.29326629945213,-0.726137910494253,2.2819139354522e-45,9.56811819911703e-43,Down
LRRN4CL,-5.26182605404031,1.40595500425571,3.11002975611506e-45,1.2744053750626e-42,Down
MRGPRF,-5.39822979104465,3.17513809854576,4.66567752375054e-45,1.86938146118272e-42,Down
DIPK2B,-4.4613966380158,2.75931713097339,6.28231784209049e-45,2.46239544984547e-42,Down
BNC2,-5.58876679375866,2.55864490628169,8.99511143749492e-45,3.45067785570284e-42,Down
SORBS1,-5.25461846234011,3.97900563383104,1.19232557645794e-44,4.47867294657014e-42,Down
LCN6,-6.6620604440062,-2.32435928369611,1.71793117754193e-44,6.3212855369553e-42,Down
ADAMTS5,-5.74662924212779,1.99592895238962,1.95646764817502e-44,7.05502233931912e-42,Down
GPM6A,-6.90426621663627,-0.51813711669325,2.12742319243594e-44,7.5210666979647e-42,Down
AOC3,-5.28566581577271,2.99793336501455,1.53804350213042e-43,5.26228369566224e-41,Down
TAGLN,-5.51960585654666,7.72760435520422,1.54687207914642e-43,5.26228369566224e-41,Down
FAM9B,-6.59022730978969,-3.41800136953506,1.49922934790725e-42,5.00576021162364e-40,Down
CACNA1C,-4.99460687227697,2.4622734599173,6.65754019706331e-42,2.18246272278275e-39,Down
PTGIS,-6.49613371656619,3.06328799451248,1.08937664477803e-41,3.50740373309783e-39,Down
TCEAL7,-5.26386313898673,0.446312950406633,1.55290680275878e-41,4.91208941293699e-39,Down
FBXL22,-4.72750219987716,0.496682524197929,2.79061701998418e-41,8.67496980522669e-39,Down
DACT3,-5.14854738829265,2.10473314174613,5.06974652093413e-41,1.54928016563462e-38,Down
DPP6,-7.18127353237467,1.17613286825512,5.53672167384652e-41,1.66378486299088e-38,Down
TCF23,-7.9650515502077,0.684876368592837,6.71269055212556e-41,1.98409525663646e-38,Down
ABCG2,-4.78296501746535,1.29771099159743,7.11253523189353e-41,2.06837113275871e-38,Down
MYOCD,-6.29095727343677,0.607454580138095,5.68762169418513e-40,1.62774316105013e-37,Down
GNG11,-4.36691262796713,3.48397301541605,7.24907671777641e-40,2.04220083158607e-37,Down
JAM3,-4.12418841799381,3.25916398516893,1.85117680390947e-39,5.1348796576135e-37,Down
FAM180B,-5.52479266872939,-3.51176105617881,2.36004250656357e-39,6.44720702929412e-37,Down
C11orf96,-5.26011508088675,4.11285469913954,3.89030370493897e-39,1.0468981462694e-36,Down
CD34,-4.0971728849314,4.7110604700197,4.89810659087922e-39,1.29871855637577e-36,Down
CHRDL2,-6.5905350345288,2.09629386136097,5.18400565627579e-39,1.35460321713989e-36,Down
HSPA12B,-4.0147961046645,1.78899196929249,2.26184958369762e-38,5.82587828486686e-36,Down
PYGM,-4.42267423230766,0.00541729296714136,4.06906010506368e-38,1.03331202386335e-35,Down
MASP1,-5.88377183126024,2.99193427505385,4.39167835204242e-38,1.09974945399062e-35,Down
ZCCHC12,-6.64259365519523,0.65220272349603,8.42180385777001e-38,2.08007018569306e-35,Down
PI16,-7.08987510513358,2.0546751498971,2.41762825836801e-37,5.89051858086152e-35,Down
MYCT1,-4.1667389198993,1.40619651744592,2.65565416388199e-37,6.38419260997232e-35,Down
TNXB,-5.04116653331068,3.17007139018477,3.3846151422678e-37,8.02955408093268e-35,Down
OGN,-6.95055525773121,2.20852450602502,3.55142421488477e-37,8.31586734991849e-35,Down
KCNMA1,-5.32460895155138,3.66345571561093,1.40971194763789e-36,3.25860338665527e-34,Down
CCL14,-6.38490143301167,-0.480276891286587,1.49838237594291e-36,3.41972585294313e-34,Down
TCEAL1,-3.39186814388266,3.76199231024548,5.52013791510256e-36,1.24410108261624e-33,Down
KANK2,-3.54107728020237,6.16940054559,8.81412829453022e-36,1.94435056011131e-33,Down
TNFAIP8L3,-4.94069769230829,2.69071535718924,8.84285889789948e-36,1.94435056011131e-33,Down
KLHL33,-5.43397201342154,-3.70533418503614,2.18808967113788e-35,4.75316346633928e-33,Down
RBM24,-5.94956465561413,0.233739629175057,1.19093019217977e-34,2.55624659107158e-32,Down
MYLK,-5.01095893113239,6.06352522854824,4.2132393531075e-34,8.93702418076802e-32,Down
CMA1,-6.26862591867036,-2.61477012464997,4.51852778364011e-34,9.47314603942224e-32,Down
LYVE1,-4.89591608311634,0.423649557870876,5.23721478644036e-34,1.08536761608643e-31,Down
CHRDL1,-7.11231799044849,2.05216321030416,5.69978584700774e-34,1.16780839569943e-31,Down
ZCCHC24,-3.92188071283331,3.73401735921011,6.34164409948421e-34,1.28471733835618e-31,Down
C6orf58,-5.23704967398529,-2.54697700156157,9.25606147157098e-34,1.85429764813805e-31,Down
ACKR1,-5.95635069756272,3.81351356458275,1.74868205920914e-33,3.46469643159789e-31,Down
FHL1,-5.32142571466856,4.68025837837288,5.78096327522867e-33,1.13294312883014e-30,Down
ITGB1BP2,-3.79689048925544,0.22185048589472,5.8513822638805e-33,1.13441314212651e-30,Down
LGI4,-4.25013459079571,1.67622920413975,6.28267323951803e-33,1.20507019689904e-30,Down
CXCL12,-5.09715470655431,4.3047238609009,1.4542687376513e-32,2.76004898314242e-30,Down
MYL9,-4.81470618764372,7.38502588260667,1.07939602060691e-31,2.02724065120235e-29,Down
PRND,-6.02508249147335,-1.95424113161599,1.18831138491898e-31,2.20878910000919e-29,Down
PRUNE2,-5.41629687161878,2.60536857802285,1.74546997772723e-31,3.21130854065529e-29,Down
TBC1D1,-2.80068449796424,5.88807028849846,2.48406868860959e-31,4.52401600561929e-29,Down
RASL12,-4.57749897732879,2.47014197351394,3.10634525733709e-31,5.60074049897878e-29,Down
PLPP7,-4.40071777076214,-0.369596700630637,3.73868872893991e-31,6.67411463195907e-29,Down
ABCA8,-5.58570989760275,0.689749621990561,4.91758634022197e-30,8.68430574017666e-28,Down
SMOC2,-5.2159644543581,4.20988756735277,4.96108425534218e-30,8.68430574017666e-28,Down
TNS1,-3.98266636801365,6.19000546040772,9.60118377540891e-30,1.66451291798676e-27,Down
CCDC181,-3.48784272349759,-0.780920763525814,1.53734182240342e-29,2.63983552932702e-27,Down
CNRIP1,-4.17354493520024,2.02580403475664,1.69759975672049e-29,2.88752109562928e-27,Down
CLIP3,-4.24395929360015,3.26073706413975,1.9623827624102e-29,3.30670665479028e-27,Down
HSPB2,-4.57659965104352,-1.07599632827482,2.17811172028161e-29,3.63623651080347e-27,Down
NDN,-4.4421750822325,3.01406882174555,2.45696714657776e-29,4.06413923420155e-27,Down
DIXDC1,-3.85289713111499,3.0454604526073,5.53713718859277e-29,9.0758712282116e-27,Down
FHL5,-5.01719242384635,-1.01879586776086,1.02529206927093e-28,1.66540684765359e-26,Down
ARHGEF15,-3.77317128767363,2.20601367295051,1.18187243412783e-28,1.90260357029685e-26,Down
RERG,-4.99679236714767,3.08601735132637,1.43645320173582e-28,2.29196913515901e-26,Down
RSPO1,-5.77917410379156,0.49521564609198,2.36296104375285e-28,3.73720944025122e-26,Down
PDE2A,-4.56084988224788,2.14108653142413,2.6198611291236e-28,4.10748662244335e-26,Down
MRVI1,-4.25843945248664,3.42494283770658,3.60024641266823e-28,5.59590024313863e-26,Down
ZBTB16,-5.55422778104069,-0.714065103510153,4.01596268427369e-28,6.18870146986792e-26,Down
OPCML,-5.93059897689068,-2.51968517533834,7.73138097332237e-28,1.18132880465256e-25,Down
MGARP,-4.52033067959159,-1.48428568824565,1.28844819189142e-27,1.95216142015145e-25,Down
PDZRN3,-4.74772650729294,2.88747752572015,1.9804694668245e-27,2.97565537390381e-25,Down
INMT,-4.43680427156934,0.984563231716267,2.4255301184039e-27,3.61424033345638e-25,Down
CLVS2,-7.0640280699562,-2.69106417354392,2.742543138965e-27,4.05311908160155e-25,Down
PPP1R12B,-4.10005623063029,5.79509464578139,2.83187303403484e-27,4.15111144745108e-25,Down
TNS2,-3.24791565186545,5.1072637087436,5.47506839601618e-27,7.96092606291707e-25,Down
LCN10,-6.01031917427807,-2.77299895824751,1.00027639627897e-26,1.44279867399279e-24,Down
CFL2,-3.27800149214043,4.487846176301,1.0387448018337e-26,1.48639434738584e-24,Down
ABCC9,-4.82806874892985,1.36498264135819,1.12087308322374e-26,1.59128674728536e-24,Down
ZEB1,-3.87930627776648,3.65797277110744,2.27416879680163e-26,3.20337995361979e-24,Down
OSR2,-3.8369299512547,4.25670064012814,2.38748595317906e-26,3.33692804153631e-24,Down
PKD2,-3.00137942948321,4.45513270372384,2.75892143364641e-26,3.82641180374191e-24,Down
TEK,-3.83130465454455,1.82781337434823,3.64719427349275e-26,4.98791623482681e-24,Down
C7,-6.57978144173107,2.65961423701331,3.65171904047221e-26,4.98791623482681e-24,Down
MAS1,-5.44510957656329,-3.42996182192771,4.33012829143814e-26,5.87009121012253e-24,Down
