,logFC,logCPM,PValue,FDR,up_down
hsa-mir-10b,-3.84074325971611,15.1912525337778,1.02068197434394e-34,6.22616004349803e-32,Down
hsa-mir-145,-4.30947020833728,10.6844792520635,7.4767920894429e-34,2.28042158728008e-31,Down
hsa-mir-140,-2.81003327494196,9.75559037921635,1.30427321142173e-27,2.65202219655752e-25,Down
hsa-mir-133a-2,-4.57280190971236,2.80782318618811,1.77246311108754e-23,2.70300624440849e-21,Down
hsa-mir-133a-1,-4.45364958158111,2.88648802622055,2.62466039962155e-21,3.20208568753829e-19,Down
hsa-mir-1-2,-4.14773663113335,3.47960118238811,4.09241920001353e-17,4.16062618668042e-15,Down
hsa-mir-1-1,-4.10809630462098,3.39960033005436,1.35655429838719e-16,1.18214017430884e-14,Down
hsa-mir-143,-3.20245253163846,16.3012622802404,7.05065603207581e-15,5.3761252244578e-13,Down
hsa-mir-139,-2.7729475639952,4.94935654195092,1.39288371828747e-13,9.4406563128373e-12,Down
hsa-mir-100,-3.27348439232885,11.5396677313671,1.79844487294065e-11,1.0970513724938e-09,Down
hsa-mir-129-2,-3.96128193448519,1.84427448414955,2.1361282494906e-11,1.18458021108115e-09,Down
hsa-mir-129-1,-3.97011125370427,1.70737779792831,5.08675517369647e-11,2.58576721329571e-09,Down
hsa-mir-133b,-3.8807006374569,0.997034342712005,1.409659005054e-10,6.61455379294571e-09,Down
hsa-mir-125a,-2.07922888665519,9.20537229962973,5.92712175610194e-10,2.58253162230156e-08,Down
hsa-mir-141,5.10940079840983,11.0264932210473,7.28638718634014e-10,2.96313078911166e-08,Up
hsa-mir-125b-1,-2.66188618101829,8.70755448095212,5.72515866416399e-09,2.05432163831767e-07,Down
hsa-mir-200c,4.44569445182588,13.4644344138575,1.08262183092702e-08,3.66888509369714e-07,Up
hsa-mir-204,-4.11026922806172,3.28255946383996,4.83933107212512e-08,1.47599597699816e-06,Down
hsa-mir-1468,-2.33756649793069,2.10766729816194,5.16409143109941e-08,1.50004560617649e-06,Down
hsa-mir-96,5.8494397843398,4.88233738219038,6.63684541356268e-08,1.84021622830601e-06,Up
hsa-mir-125b-2,-2.55983350546195,8.86945512091339,7.8673053941403e-08,2.08654621322851e-06,Down
hsa-mir-381,-2.37946277355073,5.44603197068391,1.24796307656883e-07,3.17190615294578e-06,Down
hsa-mir-6892,-2.32468058383349,1.06488430214727,2.07382991235779e-07,5.060144986153e-06,Down
hsa-mir-504,-3.1667243253696,-0.358482338413254,3.32072425238516e-07,7.7909299767498e-06,Down
hsa-mir-99a,-2.86963487341743,10.092637524808,6.59982247587381e-07,1.46372673146699e-05,Down
hsa-mir-183,5.57723010895397,13.0166732450884,7.30085510318334e-07,1.53569710791098e-05,Up
hsa-mir-195,-2.18551902590832,5.09600284545488,1.00680216672132e-06,1.98112684419356e-05,Down
hsa-mir-151b,-2.08420092697932,0.704541884973303,1.47639605425598e-06,2.81437997842546e-05,Down
hsa-mir-887,-2.08553879646973,1.5875106162911,3.59239625384318e-06,6.64049004498284e-05,Down
hsa-mir-130b,3.18107706292695,5.51729249530247,4.04939783242797e-06,7.26509611112077e-05,Up
hsa-mir-200a,4.01843165982958,10.6667536377737,4.71360097962773e-06,7.99310324799494e-05,Up
hsa-mir-15b,2.59169416259963,8.84598433964363,5.1655191704891e-06,8.21089626790091e-05,Up
hsa-mir-182,4.56102547067103,14.2831525203334,5.24958941718255e-06,8.21089626790091e-05,Up
hsa-mir-3622a,-3.27639625527532,-0.605821513999698,5.56518472044921e-06,8.48690669868505e-05,Down
hsa-mir-3934,3.93041532996942,2.45508134840657,9.27556980393213e-06,0.000138002380009722,Up
hsa-mir-429,4.16272729932325,7.65009919644964,9.87805178650238e-06,0.000143466942613487,Up
hsa-mir-1976,2.50794200042283,3.56411350993115,1.18087115244086e-05,0.000167518930927657,Up
hsa-mir-6507,-3.21268106302384,-0.254462814529048,1.50993628375144e-05,0.000204680251797417,Down
hsa-mir-205,7.95148592405224,13.7899056623612,1.68635508376221e-05,0.000223625348064119,Up
hsa-mir-873,-3.78773081241431,-0.117904412368525,1.74117240270362e-05,0.00022598195013813,Down
hsa-mir-210,4.9802055059363,10.3734257781622,2.68692231833785e-05,0.000334802381717612,Up
hsa-mir-3613,2.61291037835647,4.11411852400838,2.68939618101033e-05,0.000334802381717612,Up
hsa-mir-32,2.19746616800169,5.5340514915943,2.91307716947701e-05,0.000354721481111494,Up
hsa-mir-942,2.64950369981284,3.80662308664176,2.965704186342e-05,0.000354721481111494,Up
hsa-mir-1307,2.17776002624789,10.4967435518332,3.11187180484184e-05,0.00036504650018337,Up
hsa-mir-1245a,-2.11302185909627,0.999580720899565,3.22153744799256e-05,0.000370780725146314,Down
hsa-mir-142,3.6204905876699,11.3349905800096,3.32972461086819e-05,0.00037613555789437,Up
hsa-mir-16-2,2.2125565136777,8.71488191334736,4.4647218839421e-05,0.000495178245309942,Up
hsa-mir-18a,3.07478585277892,4.79639711773234,4.59791294635706e-05,0.000500844088799609,Up
hsa-mir-16-1,2.1094166158584,8.65346201456497,8.74662223646488e-05,0.000904311790549759,Up
hsa-mir-31,5.71880742880948,7.09168307106841,0.000110402142841294,0.00112242178555315,Up
hsa-mir-218-1,-2.04802666715652,4.36145873268111,0.000124913990211198,0.00124552992546859,Down
hsa-mir-3926-2,-2.18314875824286,-0.00664178445348917,0.000126594844883693,0.00124552992546859,Down
hsa-mir-218-2,-2.03969629681197,4.31094749711263,0.000161308261160774,0.00153746936418862,Down
hsa-mir-203b,4.96491448896432,7.27665213001959,0.000265996744821847,0.00242778030758401,Up
hsa-mir-4746,2.96918967531032,2.99761576385225,0.000271556901607123,0.00243602514676978,Up
hsa-mir-203a,6.02342575218229,15.8404001660195,0.000282796983990553,0.00246437371763196,Up
hsa-mir-200b,3.06586574319239,10.3195527409958,0.000359478946303241,0.00300386516773941,Up
hsa-mir-383,-3.7520273500775,-0.712572310727385,0.000448473477687263,0.00369687596471933,Down
hsa-let-7c,-2.13796656115485,11.7943238820527,0.000479055753237787,0.003896320126334,Down
hsa-mir-135b,4.01071091821088,6.03418541143525,0.000512833931178293,0.00406271036387999,Up
hsa-mir-33b,3.75607043362317,2.93024256380913,0.000614252403065068,0.00473354525175254,Up
hsa-mir-940,3.3083081025115,2.11305429822977,0.00062495688484952,0.00473354525175254,Up
hsa-mir-1298,-3.43674495978642,0.378951273453675,0.000628552730150747,0.00473354525175254,Down
hsa-mir-944,8.14997740264991,6.68437909516568,0.000718155550242525,0.00534237665424318,Up
hsa-mir-2277,3.48390130610907,1.02914286827489,0.000942518281166104,0.00692694158447378,Up
hsa-mir-3614,3.72064099253135,3.02396450644897,0.00103279355381283,0.00750004842649793,Up
hsa-mir-224,3.63615519279026,7.63789168452149,0.00143480730071563,0.00998739600688409,Up
hsa-mir-106a,3.65805873017073,5.54631396807522,0.00156055966386421,0.0105771266106352,Up
hsa-mir-876,-2.97398744563408,-0.699538079576813,0.00178491008766314,0.0118347299290708,Down
hsa-mir-363,4.10251674069528,5.93289205258826,0.00200859914161269,0.0130308156018711,Up
hsa-mir-1277,2.72229107205522,0.832645004151186,0.0020293893150455,0.0130308156018711,Up
hsa-mir-425,2.14403189616644,8.13111575590493,0.00221182023058788,0.0140542743818605,Up
hsa-mir-20b,4.60850153663144,6.94968068649205,0.00265537359852476,0.016197778951001,Up
hsa-mir-7706,2.1525613001052,1.45471893482728,0.00360938109641293,0.0203863191556656,Up
hsa-mir-877,3.07481532914069,1.68772288898821,0.0036543310129061,0.020450843283236,Up
hsa-mir-642a,3.18917715702557,1.50091854362006,0.00377569696102675,0.0209379558747847,Up
hsa-mir-3651,3.80470445840931,1.2862175242644,0.00483571389035202,0.0258753111676731,Up
hsa-mir-345,2.15464905891704,4.33703697027886,0.0049384526848769,0.0261952707632601,Up
hsa-mir-95,3.0711618164115,3.20700133867566,0.00652712325241001,0.0340303007176932,Up
hsa-mir-4638,4.69263384856086,0.0812855904890475,0.00741658577075077,0.0377009776679831,Up
hsa-mir-548j,4.87902262155684,0.19985694806991,0.00832308863134881,0.0412758427054296,Up
hsa-mir-301b,3.5939130773521,1.14382200282013,0.008390499172907,0.0412758427054296,Up
hsa-mir-33a,2.04269735590814,5.48495003539641,0.00879790124504201,0.0425480635142815,Up
hsa-mir-155,2.22301356400697,9.20175769504449,0.00885836732182581,0.0425480635142815,Up
hsa-mir-7854,4.55425862706532,-0.00385080699615484,0.00934807830840406,0.0445494356884881,Up
hsa-mir-3152,-2.87919370113934,-0.926348199029486,0.00958911704963818,0.0453438868238705,Down
hsa-mir-4772,2.13824383489779,3.65721042437447,0.00980416320795902,0.0460041504373462,Up
hsa-mir-6510,6.70781412800862,4.44329210063315,0.0115997579636679,0.0516485573564775,Up
hsa-mir-5001,2.58186342548975,0.372828143529493,0.0117756277019944,0.0519849427152652,Up
hsa-mir-6499,4.77819180581809,2.56785597436493,0.0130025575028775,0.0562521991259239,Up
hsa-mir-1293,5.96323011240148,2.55364207939481,0.0134635578420113,0.0574319600253628,Up
hsa-mir-6854,2.39343285883052,0.850935107079433,0.0150924480922845,0.0634923678365072,Up
hsa-mir-4652,6.96057729744754,1.84536711447934,0.0154050038369352,0.0636401493533883,Up
hsa-mir-579,3.38878914489073,0.385289952448929,0.0154358972312645,0.0636401493533883,Up
