,logFC,logCPM,PValue,FDR
PGM5-AS1,-9.47582535565333,6.18964457827541,8.82811628353556e-66,6.67493872198124e-62
AL031429.2,-7.72709685761515,3.50617461615739,5.71327092840468e-58,2.15990207448339e-54
ADAMTS9-AS2,-5.87570440732886,4.767779849588,1.06217415689703e-49,2.6770329334328e-46
FRMD6-AS2,-7.86013657304777,4.69825273817962,8.07396653463672e-47,1.52618152420971e-43
CARMN,-5.58425410030522,6.64989421990579,4.82402609677526e-46,7.29489226354355e-43
HAND2-AS1,-6.52685851543417,7.29853429798057,7.25550369014778e-46,9.14314390020123e-43
AC012085.2,-7.10060741583758,5.19796690487597,1.84813418419354e-45,1.9962489380982e-42
AC087516.2,-7.77506908561853,2.58787340197071,3.59173648906036e-42,3.39463994922317e-39
AC027449.1,-5.77451066558256,3.3182200346856,1.36283012794625e-41,1.14492873304462e-38
ACTA2-AS1,-5.24321036304917,6.83835020741263,3.38740774976371e-38,2.39679834328629e-35
MIR497HG,-4.1510307147583,6.17687534239089,3.48694376089793e-38,2.39679834328629e-35
AC005180.2,-5.64702076241659,4.35998976787083,6.0294259903285e-38,3.79904082607282e-35
MEF2C-AS1,-5.15769799541448,4.25062843880261,1.63612068658398e-37,9.51592962404727e-35
AC103740.1,-5.69563930631595,5.15595230626932,4.32812593206543e-35,2.33749715516762e-32
LINC01197,-4.53814293381796,5.49702804478117,2.62762206885896e-33,1.3244966975095e-30
AC005062.1,-4.85718902937216,5.55262253330463,3.68151453814171e-33,1.73974571393059e-30
AC011472.4,-3.94068726603324,4.69244357623082,4.22643095690937e-33,1.87976732148187e-30
JAZF1-AS1,-4.71373224394724,3.71890758533391,1.08591527345284e-31,4.56144743476496e-29
MRGPRF-AS1,-5.49081470145549,3.47188913540914,3.18475185498902e-30,1.26736361976695e-27
NAV2-AS2,-6.09544127764689,3.24079914641853,3.41283867866084e-30,1.29022366246773e-27
AL135746.1,-6.98924076537583,2.21854655298553,5.19083667311235e-29,1.86894838501917e-26
AC002398.2,-5.76174208271394,3.10662650805925,2.10649734003635e-28,7.23964835818857e-26
CLRN1-AS1,-5.89678787754211,3.03006997004241,3.99302608685895e-27,1.31266392359741e-24
AP001107.5,-5.40206457761902,5.77545046072028,1.33158218500503e-26,4.19503870867628e-24
AC126773.4,-3.80463764382445,7.24404771172219,1.60574506359481e-26,4.85641537033615e-24
AC018647.1,-3.85873455891149,3.85915505418499,5.35433724735497e-26,1.55708245874042e-23
LINC00924,-4.92264712866568,4.02646777121248,8.99022265573625e-26,2.51759531481562e-23
AC107959.1,-3.43977273675811,5.86388452911942,2.5693665848111e-25,6.93820740991311e-23
AP003071.4,-4.7357175046796,5.78616514126349,5.80132446921618e-25,1.5125453210946e-22
A2M-AS1,-3.58958635110462,5.96451687059222,4.4002823606793e-24,1.10901783096987e-21
ADAMTS9-AS1,-5.41232224941509,5.54456644963198,3.18778085022295e-23,7.77510032533411e-21
HID1-AS1,-4.1034992167543,3.03423386312868,4.2655848083661e-23,1.00787771050175e-20
AC053503.3,-6.81975912398717,3.00681208565827,1.19680921869693e-22,2.74214378865681e-20
LINC01358,-4.66920943374875,3.77590257782568,2.88270957993218e-22,6.41063739231388e-20
AC087286.2,-4.61375942785754,3.12132123890113,2.89142800879234e-21,6.24631062127968e-19
MAGI2-AS3,-4.03751513169991,8.29720286854592,3.10352510976353e-21,6.51826482081168e-19
AC002546.1,-5.41221006882302,2.48480416869765,3.68555688542546e-21,7.5314853001897e-19
AC011503.1,-5.08570626358715,4.46445179970502,4.46014751358377e-21,8.87451982900182e-19
AC005180.1,-5.29080752757422,3.69629207496985,4.74167649315972e-21,9.19277332430272e-19
MIR133A1HG,-3.96590773290947,3.06507441534035,5.05500728364647e-21,9.55522751791273e-19
LINC01489,-5.32613939837432,2.98010209636514,7.93620365852531e-21,1.4635520941978e-18
AC087521.1,-5.03550487518943,4.58043414616647,1.04315347411012e-20,1.877924623273e-18
AC074286.1,-4.06880309683958,3.3840838359586,2.82540545475087e-20,4.96811410310961e-18
LINC02202,-3.86300918117036,4.5078879382311,6.16845186994386e-20,1.05999237701467e-17
PPM1K-DT,-4.75676035718731,3.96160701981962,7.34458349743544e-20,1.23405324053576e-17
AL445426.1,-4.9686372823849,2.64989341899526,8.64298120079275e-20,1.42064306215639e-17
AC105914.2,-5.89526995598341,2.2205499598803,1.13642687884273e-19,1.82819651721913e-17
AC025431.1,-5.05769536989106,2.64176574812289,1.45308328365882e-19,2.28890889744673e-17
AC092376.2,-4.27520286686541,5.89175385625136,2.58012653549141e-19,3.98129321119398e-17
CADM3-AS1,-5.10814801187294,5.108242256203,4.99675878044424e-19,7.55609862778777e-17
AL139339.1,-3.93872792232419,3.77601581848292,3.48831612454064e-18,5.17159965051995e-16
AC013553.3,-3.9673433875825,3.59487339215164,3.83617940228655e-18,5.57795239628627e-16
AC004637.1,-5.19296596059778,2.95677078599645,4.67833106044839e-18,6.67412474491515e-16
AC092162.2,-4.09439539942714,3.46294550761832,5.28273149645133e-18,7.39680237864232e-16
AL161457.1,-6.10625608503189,2.30545503456615,1.38823489692735e-17,1.90844437375776e-15
LINC02613,-4.11269871798036,4.54606395315397,1.01589318505016e-16,1.37163720931505e-14
MBNL1-AS1,-3.44761260476982,8.87384639010974,1.38234437885475e-16,1.83366769272294e-14
LINC01985,-4.96609814297697,2.31198821885039,1.88201489966104e-16,2.45343356143744e-14
AP000802.1,-5.08406066323111,2.96075985974306,2.51600842785836e-16,3.22432876661645e-14
Z97989.1,-2.86198133718357,6.34024053069637,3.47477103095968e-16,4.37879062751435e-14
AL135960.1,-3.75355269383509,3.38726382924724,4.41678995305306e-16,5.4746473500056e-14
AL590226.1,-3.67836985267374,3.54923189647655,7.76526736697066e-16,9.46986880026857e-14
AL049838.1,-4.03282229430279,5.68844379834398,1.42334914663848e-15,1.70824490440215e-13
AC027682.6,-3.264953568693,4.83767497605366,1.6427463858643e-15,1.94075084742499e-13
AC093010.3,-2.98170803436413,9.79945850693503,1.90889609764959e-15,2.22048667605054e-13
AP003548.1,-5.21719740899597,2.57077356602945,2.69029761856155e-15,3.08202125665816e-13
AC024337.2,-4.30061073111237,4.83110835230063,3.21372620390658e-15,3.58060133708524e-13
AC020634.2,-4.0154378857317,3.11504681556613,3.22022075018908e-15,3.58060133708524e-13
AC174065.1,-4.12093340588219,2.93546198451865,1.57385758550533e-14,1.72462858029069e-12
AC092667.1,-5.4700551558064,2.87018456308133,1.70275152473576e-14,1.83921489693244e-12
PGM5P4-AS1,-5.50671708862668,2.72022202643665,1.74116140481566e-14,1.85421427912834e-12
LINC01016,-5.42907616375223,4.30301254238671,5.21332927987885e-14,5.47471981738388e-12
AL445423.1,-4.14587677005592,3.40559963679034,7.35749410221413e-14,7.6205497132659e-12
AC012603.1,-2.78777155395284,4.39346112287643,9.12607229547557e-14,9.32462603055281e-12
AC107204.1,-3.98221922178625,3.89933756788395,1.01437811096767e-13,1.02262838627021e-11
AC093278.2,-2.93614122583456,7.45812658230729,1.1516414359721e-13,1.14573169702435e-11
WT1-AS,-4.87542154531968,6.61837885906539,1.3078738923762e-13,1.28426422081253e-11
AC017007.6,-6.68055889340916,2.41828403246325,1.34395315660843e-13,1.30277305347645e-11
AC091057.1,4.95556675332761,10.7506069772074,1.51209407149147e-13,1.43711270105288e-11
AC136475.1,-3.0855839460534,6.00015292718968,1.52055304965257e-13,1.43711270105288e-11
LINC00891,-4.0568544951619,2.85203565178796,1.84667585184475e-13,1.7237921130615e-11
AC067750.1,-2.40981343165406,7.07818341308652,1.97980378063285e-13,1.82552394943475e-11
AC121247.2,-3.3648366809138,3.60286294863258,2.31545844453784e-13,2.10929895170489e-11
LINC00844,-5.30380902579386,2.5334460583726,2.60413629821113e-13,2.344032684616e-11
AC010336.5,-4.39743900353048,2.76694665255413,3.46398582673908e-13,3.0813172748205e-11
LINC02296,-5.9074282006521,2.34127999978049,3.51542097781454e-13,3.0907090713088e-11
ZNF582-AS1,-3.72357710291755,5.4624240895091,5.030100395911e-13,4.32282250755827e-11
LINC00211,-4.21633102048018,2.58062211152973,5.08788972463592e-13,4.32282250755827e-11
AL137026.1,-4.25412045742481,2.90417250847845,5.08836401498064e-13,4.32282250755827e-11
AC087477.2,-3.8421733879218,6.31432797314419,6.56936057393596e-13,5.51899281105887e-11
AC007541.1,-3.15461987795823,6.40692170562274,8.31952807463384e-13,6.91252217278093e-11
KCNIP1-OT1,-4.56123361543721,2.80073931441641,1.02122374091579e-12,8.3929051142003e-11
LINC01140,-3.47102261353979,5.70542299242675,1.11740978110944e-12,9.08466167200911e-11
AL162584.1,-5.64817845802689,2.41506566432112,1.36750885901837e-12,1.09997175351467e-10
AJ011932.1,-4.60995813040471,3.34109513890768,1.47816638609824e-12,1.17646484687251e-10
AF001548.1,-3.69841518351974,3.5667442839644,1.6114954440951e-12,1.26922052633365e-10
LINC02447,-3.08832631212587,4.80943156067469,1.81626730161715e-12,1.41575227500281e-10
AC005746.2,-3.41406913084592,2.90620556197327,2.32585403630281e-12,1.79446758862097e-10
AP003071.3,-4.2457280230776,2.57604905927888,2.62005604749008e-12,2.0010347247548e-10
RERG-IT1,-4.57955497177353,2.72539010454948,3.02035549200905e-12,2.28369078750804e-10
LINC02599,-3.90372015133183,2.92320617213617,3.07198841380754e-12,2.29973310859395e-10
AC048382.5,-2.78051856641818,3.65558602954776,3.59713861867594e-12,2.66646716625576e-10
AL021408.1,-4.52956608819437,3.13128793736333,4.06126233492562e-12,2.98128199168666e-10
AC007998.3,-3.22547568065027,4.16441379016434,5.88649519013704e-12,4.27959520506021e-10
AC009806.1,-3.18387616921698,3.59851297347268,8.04282457419779e-12,5.79159967671519e-10
AC002451.1,-4.38148207670176,3.00922153962706,9.08535335336866e-12,6.480599689134e-10
AC132872.1,-2.02095337329472,8.87344923702369,9.43945528800084e-12,6.67025433949293e-10
AL008718.2,-3.29490637692835,3.53399641214,9.65536202395713e-12,6.75964743177221e-10
LINC01936,-3.76076377832395,4.59650812774194,1.32811203159492e-11,9.16893521515641e-10
MIR202HG,-4.40655195414511,2.30221760627644,1.33392788476022e-11,9.16893521515641e-10
MIR1-1HG-AS1,-4.13956179811216,5.09501869707494,1.62167059629446e-11,1.10463525933175e-09
LAMA4-AS1,-3.6347126107292,3.57213464844001,1.94395268093818e-11,1.31234162683693e-09
LINC02388,-4.40959758679023,2.30109637316706,2.37894799272342e-11,1.59178989141432e-09
CEBPB-AS1,-2.57806698348467,6.71869813428955,3.14207235715635e-11,2.08396570986484e-09
AC147067.2,-3.40453033036593,3.41624436051316,5.9901850278014e-11,3.93841643436578e-09
AC145124.1,-3.35013300258004,4.27258119873896,6.26524357753119e-11,4.08375057669942e-09
LINC00989,-3.99834205450827,3.29331649796656,6.73120093794019e-11,4.34996669160391e-09
LINC02829,-4.02182145791212,2.80897546433806,7.01130203026353e-11,4.49258090261208e-09
SOCS2-AS1,-3.3893035996126,7.62948415213607,7.42302433989457e-11,4.71642748184394e-09
AC026471.2,-2.67414965613259,4.88365217487221,7.79297735840994e-11,4.91022515057813e-09
LINC02310,-4.71939131987622,3.42626549283092,8.83508884486178e-11,5.5208352690909e-09
AC027237.6,-3.21211485673351,3.1069659956146,1.02986966598451e-10,6.38265946271221e-09
AP001363.2,-2.97997000590363,3.95768984423819,1.29833797580229e-10,7.98108409352934e-09
EMX2OS,-4.37267186651697,9.83749159963577,1.88516966570378e-10,1.14949740664405e-08
LINC01352,-3.54233248506009,3.41783009612803,3.01997258323465e-10,1.82672101614698e-08
AC012073.1,3.69900024327908,8.3127448369074,3.70536397818334e-10,2.22351246341621e-08
AP001189.3,-3.5866902914421,4.00829893279124,3.74646359415683e-10,2.2304733256236e-08
EPB41L4A-AS1,-2.18756824253705,10.5208233538005,4.23183425435512e-10,2.49975771852962e-08
